path,label,mode,width,height,channels,reason
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR1.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR10.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR100.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR100_dup_18.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR100_dup_189.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR100_dup_256.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR100_dup_289.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR100_dup_35.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR100_dup_63.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR100_dup_73.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR101.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR101_dup_138.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR101_dup_247.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR101_dup_272.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR101_dup_283.jpg,RGB_COLOR,RGB,2004,1690,3,
